business_unit,office,product_type,trip_date,shift_type,trip_id,trip_direction,actual_escort,vendor_id,planned_cab_registration,actual_cab_registration,actual_cab_capacity,planned_km,traveled_km,planned_start_epoch,planned_end_epoch,actual_start_epoch,actual_end_epoch,delay_reason,delay_minutes,route_source,actual_cab_fuel_type,is_driver_nc,is_cab_nc,trip_nodal,plannedemployee_cnt,actualemployee_cnt,noshow_cnt
pinnacle-Slc,Clearwater Campus,CAB,"June 1, 2026",09:00,"3,000,561",LOGIN,false,Rohan Mikhailov Travel,KA 00 AB,KA 00 AB,4,12.5,13.1,"1,780,284,600","1,780,288,200","1,780,285,500","1,780,289,100",EMPLOYEE,15,AUTO,Electric,false,false,NA,2,2,0
pinnacle-Slc,Oakmont Office,CAB,"June 1, 2026",09:00,"3,000,562",LOGIN,false,Pooja Mikhailov Travel,KA 01 AB,KA 01 AB,4,12.5,13.1,"1,780,284,600","1,780,288,200","1,780,284,600","1,780,288,200",NODELAY,0,AUTO,Diesel,false,false,NA,2,2,0
pinnacle-Slc,Clearwater Campus,CAB,"June 1, 2026",15:30,"3,000,563",LOGOUT,false,Rohan Mikhailov Travel,KA 02 AB,KA 02 AB,4,12.5,13.1,"1,780,308,000","1,780,311,600","1,780,309,740","1,780,313,340",DRIVER,29,AUTO,Diesel,false,false,NA,2,2,0
pinnacle-Slc,Oakmont Office,CAB,"June 1, 2026",15:30,"3,000,564",LOGOUT,false,Pooja Mikhailov Travel,KA 03 AB,KA 03 AB,4,12.5,13.1,"1,780,308,000","1,780,311,600","1,780,308,000","1,780,311,600",NODELAY,0,AUTO,Diesel,false,false,NA,2,5,0
pinnacle-Slc,Clearwater Campus,CAB,"June 1, 2026",09:00,"3,000,565",LOGIN,false,Rohan Mikhailov Travel,KA 04 AB,KA 04 AB,4,12.5,13.1,"1,780,284,600","1,780,288,200","1,780,287,180","1,780,290,780",TRAFFIC,43,AUTO,Diesel,false,false,NA,2,2,0
pinnacle-Slc,Oakmont Office,CAB,"June 1, 2026",09:00,"3,000,566",LOGIN,false,Pooja Mikhailov Travel,KA 05 AB,KA 05 AB,4,12.5,13.1,"1,780,284,600","1,780,288,200","1,780,284,600","1,780,288,200",NODELAY,0,AUTO,Electric,false,false,NA,2,2,0
pinnacle-Slc,Clearwater Campus,CAB,"June 1, 2026",15:30,"3,000,567",LOGOUT,false,Rohan Mikhailov Travel,KA 06 AB,KA 06 AB,4,12.5,13.1,"1,780,308,000","1,780,311,600","1,780,309,020","1,780,312,620",EMPLOYEE,17,AUTO,Diesel,false,false,NA,2,2,0
pinnacle-Slc,Oakmont Office,CAB,"June 1, 2026",15:30,"3,000,568",LOGOUT,false,Pooja Mikhailov Travel,KA 07 AB,KA 07 AB,4,12.5,13.1,"1,780,308,000","1,780,311,600","1,780,308,000","1,780,311,600",NODELAY,0,AUTO,Diesel,false,false,NA,2,2,0
pinnacle-Slc,Clearwater Campus,CAB,"June 1, 2026",09:00,"3,000,569",LOGIN,false,Rohan Mikhailov Travel,KA 08 AB,KA 08 AB,4,12.5,13.1,"1,780,284,600","1,780,288,200","1,780,326,600","1,780,330,200",DRIVER,700,AUTO,Diesel,false,false,NA,2,2,0
pinnacle-Slc,Oakmont Office,CAB,"June 1, 2026",09:00,"3,000,570",LOGIN,false,Pooja Mikhailov Travel,KA 09 AB,KA 09 AB,4,12.5,13.1,"1,780,284,600","1,780,288,200","1,780,284,600","1,780,288,200",NODELAY,0,AUTO,Diesel,false,false,NA,2,2,0
pinnacle-Slc,Clearwater Campus,CAB,"June 1, 2026",15:30,"3,000,571",LOGOUT,false,Rohan Mikhailov Travel,KA 10 AB,KA 10 AB,4,12.5,13.1,"1,780,308,000","1,780,311,600","1,780,308,000","1,780,311,600",NODELAY,0,AUTO,Electric,false,false,NA,2,2,0
pinnacle-Slc,Oakmont Office,CAB,"June 1, 2026",15:30,"3,000,572",LOGOUT,false,Pooja Mikhailov Travel,KA 11 AB,KA 11 AB,4,12.5,13.1,"1,780,308,000","1,780,311,600","1,780,308,000","1,780,311,600",NODELAY,0,AUTO,Diesel,false,false,NA,2,2,0
pinnacle-Slc,Clearwater Campus,CAB,"June 1, 2026",09:00,"3,000,573",LOGIN,false,Rohan Mikhailov Travel,KA 12 AB,KA 12 AB,4,12.5,13.1,"1,780,284,600","1,780,288,200","1,780,284,600","1,780,288,200",NODELAY,0,AUTO,Diesel,false,false,NA,2,2,0
pinnacle-Slc,Oakmont Office,CAB,"June 1, 2026",09:00,"3,000,574",LOGIN,false,Pooja Mikhailov Travel,KA 13 AB,KA 13 AB,4,12.5,13.1,"1,780,284,600","1,780,288,200","1,780,284,600","1,780,288,200",NODELAY,0,AUTO,Diesel,false,false,NA,2,2,0
pinnacle-Slc,Clearwater Campus,CAB,"June 1, 2026",15:30,"3,000,575",LOGOUT,false,Rohan Mikhailov Travel,KA 14 AB,KA 14 AB,4,12.5,13.1,"1,780,308,000","1,780,311,600","1,780,308,000","1,780,311,600",NODELAY,0,AUTO,Diesel,false,false,NA,2,2,0
pinnacle-Slc,Oakmont Office,CAB,"June 1, 2026",15:30,"3,000,576",LOGOUT,false,Pooja Mikhailov Travel,KA 15 AB,KA 15 AB,4,12.5,13.1,"1,780,308,000","1,780,311,600","1,780,308,000","1,780,311,600",NODELAY,0,AUTO,Electric,false,false,NA,2,2,0
