business_unit,office,vendor,cycle_start,cycle_end,trip_id,contract,slab_name,total_trip_km,trip_cost
pinnacle-Slc,Clearwater Campus,Rohan Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",3000001,4S-DSL,Medium,12.5,"1,000"
pinnacle-Slc,Oakmont Office,Pooja Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",3000002,4S-DSL,Medium,12.5,"1,020"
pinnacle-Slc,Clearwater Campus,Rohan Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",3000003,4S-DSL,Medium,12.5,"1,040"
pinnacle-Slc,Oakmont Office,Pooja Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",3000004,4S-DSL,Medium,12.5,"1,060"
pinnacle-Slc,Clearwater Campus,Rohan Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",3000005,4S-DSL,Medium,12.5,"1,080"
pinnacle-Slc,Oakmont Office,Pooja Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",3000006,4S-DSL,Medium,12.5,"1,000"
pinnacle-Slc,Clearwater Campus,Rohan Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",3000007,4S-DSL,Medium,12.5,"1,020"
pinnacle-Slc,Oakmont Office,Pooja Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",3000008,4S-DSL,Medium,12.5,"1,040"
pinnacle-Slc,Clearwater Campus,Rohan Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",3000009,4S-DSL,Medium,12.5,"1,060"
pinnacle-Slc,Oakmont Office,Pooja Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",3000010,4S-DSL,Medium,12.5,"1,080"
pinnacle-Slc,Clearwater Campus,Rohan Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",3000011,4S-DSL,Medium,12.5,"1,000"
pinnacle-Slc,Oakmont Office,Pooja Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",3000012,4S-DSL,Medium,12.5,"1,020"
pinnacle-Slc,Clearwater Campus,Rohan Mikhailov Travel,"May 1, 2026, 12:00 AM","May 31, 2026, 12:00 AM",3000013,4S-DSL,Medium,12.5,"1,040"
