business_unit,office,product_type,trip_date,shift_type,trip_id,planned_pickup_epoch,planned_drop_epoch,actual_pickup_epoch,actual_drop_epoch,planned_km,traveled_km,stwid,signintype,gender,emp_role,boarding_status,not_boarding_reason,is_no_show
pinnacle-Slc,Clearwater Campus,CAB,2026-05-04,09:00,3000001,1777865400.0,1777869000.0,1777865520.0,1777869120.0,6.2,6.4,100001,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-04,09:00,3000001,1777865700.0,1777869000.0,1777865820.0,1777869120.0,6.2,6.4,100002,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-04,09:00,3000002,1777865400.0,1777869000.0,1777865520.0,1777869120.0,6.2,6.4,100003,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-04,09:00,3000002,1777865700.0,1777869000.0,1777865820.0,1777869120.0,6.2,6.4,100004,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-04,15:30,3000003,1777888800.0,1777892400.0,1777888920.0,1777892520.0,6.2,6.4,100005,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-04,15:30,3000003,1777889100.0,1777892400.0,1777889220.0,1777892520.0,6.2,6.4,100006,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-04,15:30,3000004,1777888800.0,1777892400.0,1777888920.0,1777892520.0,6.2,6.4,100007,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-04,15:30,3000004,1777889100.0,1777892400.0,1777889220.0,1777892520.0,6.2,6.4,100008,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-04,09:00,3000005,1777865400.0,1777869000.0,1777865520.0,1777869120.0,6.2,6.4,100009,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-04,09:00,3000005,1777865700.0,1777869000.0,1777865820.0,1777869120.0,6.2,6.4,100010,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-04,09:00,3000006,1777865400.0,1777869000.0,1777865520.0,1777869120.0,6.2,6.4,100011,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-04,09:00,3000006,1777865700.0,1777869000.0,1777865820.0,1777869120.0,6.2,6.4,100012,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-04,15:30,3000007,1777888800.0,1777892400.0,1777889700.0,1777893300.0,6.2,6.4,100013,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-04,15:30,3000007,1777889100.0,1777892400.0,1777890000.0,1777893300.0,6.2,6.4,100014,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-04,15:30,3000008,1777888800.0,1777892400.0,1777888920.0,1777892520.0,6.2,6.4,100015,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-04,15:30,3000008,1777889100.0,1777892400.0,,,6.2,6.4,100016,,FEMALE,employee,Not Boarded,NO_SHOW,True
pinnacle-Slc,Clearwater Campus,CAB,2026-05-04,09:00,3000009,1777865400.0,1777869000.0,1777865520.0,1777869120.0,6.2,6.4,100017,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-04,09:00,3000009,1777865700.0,1777869000.0,1777865820.0,1777869120.0,6.2,6.4,100018,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-04,09:00,3000010,1777865400.0,1777869000.0,1777865520.0,1777869120.0,6.2,6.4,100019,Planned,MALE,employee,Boarded,,False
pinnacle-Slc,Oakmont Office,CAB,2026-05-04,09:00,3000010,1777865700.0,1777869000.0,1777865820.0,1777869120.0,6.2,6.4,100020,Planned,FEMALE,employee,Boarded,,False
pinnacle-Slc,Clearwater Campus,CAB,2026-05-04,15:30,3000011,1777888800.0,1777892400.0,1777888920.0,1777892520.0,6.2,6.4,100021,Planned,MALE,employee,Boarded,,False
