business_unit,trip_id,trip_type,trip_date,stwid,route_rating,driver_rating,cab_rating,safety_rating,marshal_rating,creation_time
pinnacle-Slc,"3,000,001",LOGIN,"May 4, 2026, 9:00 AM","100,001",5,5,5,4,0,"May 4, 2026, 11:00 AM"
pinnacle-Slc,"3,000,001",LOGIN,"May 4, 2026, 9:00 AM","100,002",5,5,5,4,0,"May 4, 2026, 11:00 AM"
pinnacle-Slc,"3,000,002",LOGIN,"May 4, 2026, 9:00 AM","100,003",5,5,5,4,0,"May 4, 2026, 11:00 AM"
pinnacle-Slc,"3,000,002",LOGIN,"May 4, 2026, 9:00 AM","100,004",5,5,5,4,0,"May 4, 2026, 11:00 AM"
pinnacle-Slc,"3,000,003",LOGOUT,"May 4, 2026, 3:30 PM","100,005",5,5,5,4,0,"May 4, 2026, 5:30 PM"
pinnacle-Slc,"3,000,003",LOGOUT,"May 4, 2026, 3:30 PM","100,006",5,5,5,4,0,"May 4, 2026, 5:30 PM"
pinnacle-Slc,"3,000,004",LOGOUT,"May 4, 2026, 3:30 PM","100,007",5,5,5,4,0,"May 4, 2026, 5:30 PM"
pinnacle-Slc,"3,000,004",LOGOUT,"May 4, 2026, 3:30 PM","100,008",5,5,5,4,0,"May 4, 2026, 5:30 PM"
pinnacle-Slc,"3,000,005",LOGIN,"May 4, 2026, 9:00 AM","100,009",5,5,5,4,0,"May 4, 2026, 11:00 AM"
pinnacle-Slc,"3,000,005",LOGIN,"May 4, 2026, 9:00 AM","100,010",5,5,5,4,0,"May 4, 2026, 11:00 AM"
pinnacle-Slc,"3,000,006",LOGIN,"May 4, 2026, 9:00 AM","100,011",5,2,5,4,0,"May 4, 2026, 11:00 AM"
pinnacle-Slc,"3,000,006",LOGIN,"May 4, 2026, 9:00 AM","100,012",5,5,5,4,0,"May 4, 2026, 11:00 AM"
pinnacle-Slc,"3,000,007",LOGOUT,"May 4, 2026, 3:30 PM","100,013",5,5,5,4,0,"May 4, 2026, 5:30 PM"
pinnacle-Slc,"3,000,007",LOGOUT,"May 4, 2026, 3:30 PM","100,014",5,5,5,4,0,"May 4, 2026, 5:30 PM"
pinnacle-Slc,"3,000,008",LOGOUT,"May 4, 2026, 3:30 PM","100,015",5,5,5,4,0,"May 4, 2026, 5:30 PM"
pinnacle-Slc,"3,000,008",LOGOUT,"May 4, 2026, 3:30 PM","100,016",5,5,5,4,0,"May 4, 2026, 5:30 PM"
pinnacle-Slc,"3,000,009",LOGIN,"May 4, 2026, 9:00 AM","100,017",5,5,5,4,0,"May 4, 2026, 11:00 AM"
pinnacle-Slc,"3,000,009",LOGIN,"May 4, 2026, 9:00 AM","100,018",5,5,5,4,0,"May 4, 2026, 11:00 AM"
pinnacle-Slc,"3,000,010",LOGIN,"May 4, 2026, 9:00 AM","100,019",5,5,5,4,0,"May 4, 2026, 11:00 AM"
pinnacle-Slc,"3,000,010",LOGIN,"May 4, 2026, 9:00 AM","100,020",5,5,5,4,0,"May 4, 2026, 11:00 AM"
pinnacle-Slc,"3,000,011",LOGOUT,"May 4, 2026, 3:30 PM","100,021",5,5,5,4,0,"May 4, 2026, 5:30 PM"
pinnacle-Slc,"3,000,011",LOGOUT,"May 4, 2026, 3:30 PM","100,022",5,5,5,4,0,"May 4, 2026, 5:30 PM"
pinnacle-Slc,"3,000,012",LOGOUT,"May 4, 2026, 3:30 PM","100,023",5,5,5,4,0,"May 4, 2026, 5:30 PM"
pinnacle-Slc,"3,000,012",LOGOUT,"May 4, 2026, 3:30 PM","100,024",5,5,5,4,0,"May 4, 2026, 5:30 PM"
pinnacle-Slc,"3,000,013",LOGIN,"May 4, 2026, 9:00 AM","100,025",5,5,5,4,0,"May 4, 2026, 11:00 AM"
pinnacle-Slc,"3,000,013",LOGIN,"May 4, 2026, 9:00 AM","100,026",5,5,5,4,0,"May 4, 2026, 11:00 AM"
pinnacle-Slc,"3,000,014",LOGIN,"May 4, 2026, 9:00 AM","100,027",5,5,5,4,0,"May 4, 2026, 11:00 AM"
pinnacle-Slc,"3,000,014",LOGIN,"May 4, 2026, 9:00 AM","100,028",5,5,5,4,0,"May 4, 2026, 11:00 AM"
pinnacle-Slc,"3,000,015",LOGOUT,"May 4, 2026, 3:30 PM","100,029",5,5,5,4,0,"May 4, 2026, 5:30 PM"
pinnacle-Slc,"3,000,015",LOGOUT,"May 4, 2026, 3:30 PM","100,030",5,5,5,4,0,"May 4, 2026, 5:30 PM"
pinnacle-Slc,"3,000,016",LOGOUT,"May 4, 2026, 3:30 PM","100,031",5,5,5,4,0,"May 4, 2026, 5:30 PM"
pinnacle-Slc,"3,000,016",LOGOUT,"May 4, 2026, 3:30 PM","100,032",5,5,5,4,0,"May 4, 2026, 5:30 PM"
pinnacle-Slc,"3,000,017",LOGIN,"May 4, 2026, 9:00 AM","100,033",5,5,5,4,0,"May 4, 2026, 11:00 AM"
pinnacle-Slc,"3,000,017",LOGIN,"May 4, 2026, 9:00 AM","100,034",5,5,5,4,0,"May 4, 2026, 11:00 AM"
pinnacle-Slc,"3,000,018",LOGIN,"May 4, 2026, 9:00 AM","100,035",5,5,5,4,0,"May 4, 2026, 11:00 AM"
pinnacle-Slc,"3,000,018",LOGIN,"May 4, 2026, 9:00 AM","100,036",5,5,5,4,0,"May 4, 2026, 11:00 AM"
pinnacle-Slc,"3,000,019",LOGOUT,"May 4, 2026, 3:30 PM","100,037",5,5,5,4,0,"May 4, 2026, 5:30 PM"
pinnacle-Slc,"3,000,019",LOGOUT,"May 4, 2026, 3:30 PM","100,038",5,5,5,4,0,"May 4, 2026, 5:30 PM"
pinnacle-Slc,"3,000,020",LOGOUT,"May 4, 2026, 3:30 PM","100,039",5,5,5,4,0,"May 4, 2026, 5:30 PM"
pinnacle-Slc,"3,000,020",LOGOUT,"May 4, 2026, 3:30 PM","100,040",5,5,5,4,0,"May 4, 2026, 5:30 PM"
pinnacle-Slc,"3,000,021",LOGIN,"May 5, 2026, 9:00 AM","100,041",5,5,5,4,0,"May 5, 2026, 11:00 AM"
