tenant_id,delay_id,trip_id,recorded_at_utc,delay_stage,delay_minutes,delay_reason,source,disputed_flag
TNT_001,DLY_TRP_0000008,TRP_0000008,2026-06-08T07:09:00.000Z,ARRIVAL,37,WEATHER,GPS,false
TNT_002,DLY_TRP_0000010,TRP_0000010,2026-06-10T22:28:00.000Z,ARRIVAL,26,TRAFFIC,GPS,true
TNT_003,DLY_TRP_0000021,TRP_0000021,2026-06-21T23:06:00.000Z,ARRIVAL,45,TRAFFIC,VENDOR,false
TNT_001,DLY_TRP_0000027,TRP_0000027,2026-06-27T09:37:00.000Z,ARRIVAL,45,TRAFFIC,GPS,false
TNT_001,DLY_TRP_0000031,TRP_0000031,2026-07-01T07:13:00.000Z,ARRIVAL,49,TRAFFIC,GPS,false
TNT_001,DLY_TRP_0000038,TRP_0000038,2026-07-08T22:22:00.000Z,ARRIVAL,24,TRAFFIC,GPS,false
TNT_001,DLY_TRP_0000051,TRP_0000051,2026-07-21T06:44:00.000Z,ARRIVAL,49,TRAFFIC,GPS,false
TNT_002,DLY_TRP_0000055,TRP_0000055,2026-07-25T14:24:00.000Z,ARRIVAL,15,VEHICLE_ISSUE,VENDOR,false
TNT_001,DLY_TRP_0000061,TRP_0000061,2026-07-31T09:15:00.000Z,ARRIVAL,11,WEATHER,GPS,false
TNT_001,DLY_TRP_0000063,TRP_0000063,2026-08-02T22:57:00.000Z,ARRIVAL,20,TRAFFIC,GPS,false
TNT_002,DLY_TRP_0000068,TRP_0000068,2026-08-07T09:57:00.000Z,ARRIVAL,50,WEATHER,GPS,false
TNT_003,DLY_TRP_0000069,TRP_0000069,2026-08-08T09:27:00.000Z,ARRIVAL,13,TRAFFIC,VENDOR,false
TNT_001,DLY_TRP_0000072,TRP_0000072,2026-08-11T10:06:00.000Z,ARRIVAL,46,WEATHER,GPS,false
TNT_001,DLY_TRP_0000073,TRP_0000073,2026-08-12T22:42:00.000Z,ARRIVAL,40,VEHICLE_ISSUE,VENDOR,false
TNT_003,DLY_TRP_0000080,TRP_0000080,2026-08-19T06:25:00.000Z,ARRIVAL,21,TRAFFIC,GPS,false
TNT_003,DLY_TRP_0000086,TRP_0000086,2026-08-25T14:37:00.000Z,ARRIVAL,22,ROUTE_DEVIATION,GPS,false
TNT_002,DLY_TRP_0000095,TRP_0000095,2026-06-05T14:26:00.000Z,ARRIVAL,43,TRAFFIC,GPS,false
TNT_001,DLY_TRP_0000098,TRP_0000098,2026-06-08T22:32:00.000Z,ARRIVAL,39,WEATHER,GPS,false
TNT_001,DLY_TRP_0000102,TRP_0000102,2026-06-12T09:31:00.000Z,ARRIVAL,42,TRAFFIC,GPS,false
TNT_001,DLY_TRP_0000103,TRP_0000103,2026-06-13T06:43:00.000Z,ARRIVAL,56,VEHICLE_ISSUE,VENDOR,false
TNT_001,DLY_TRP_0000115,TRP_0000115,2026-06-25T06:28:00.000Z,ARRIVAL,30,TRAFFIC,VENDOR,false
TNT_001,DLY_TRP_0000129,TRP_0000129,2026-07-09T22:19:00.000Z,ARRIVAL,24,TRAFFIC,OPS,false
TNT_001,DLY_TRP_0000135,TRP_0000135,2026-07-15T06:34:00.000Z,ARRIVAL,52,DRIVER_LATE,OPS,false
TNT_001,DLY_TRP_0000148,TRP_0000148,2026-07-28T08:45:00.000Z,ARRIVAL,16,TRAFFIC,GPS,false
TNT_003,DLY_TRP_0000152,TRP_0000152,2026-08-01T09:20:00.000Z,ARRIVAL,30,TRAFFIC,GPS,false
TNT_001,DLY_TRP_0000158,TRP_0000158,2026-08-07T09:47:00.000Z,ARRIVAL,16,WEATHER,GPS,false
TNT_002,DLY_TRP_0000164,TRP_0000164,2026-08-13T14:23:00.000Z,ARRIVAL,49,ROUTE_DEVIATION,VENDOR,false
TNT_003,DLY_TRP_0000168,TRP_0000168,2026-08-17T06:28:00.000Z,ARRIVAL,32,TRAFFIC,VENDOR,false
TNT_002,DLY_TRP_0000170,TRP_0000170,2026-08-19T06:15:00.000Z,ARRIVAL,32,TRAFFIC,GPS,false
TNT_001,DLY_TRP_0000171,TRP_0000171,2026-08-20T14:23:00.000Z,ARRIVAL,22,WEATHER,OPS,false
TNT_002,DLY_TRP_0000192,TRP_0000192,2026-06-12T22:01:00.000Z,ARRIVAL,11,ROUTE_DEVIATION,VENDOR,false
TNT_001,DLY_TRP_0000193,TRP_0000193,2026-06-13T06:01:00.000Z,ARRIVAL,17,ROUTE_DEVIATION,GPS,false
TNT_001,DLY_TRP_0000201,TRP_0000201,2026-06-21T09:05:00.000Z,ARRIVAL,25,TRAFFIC,OPS,false
TNT_003,DLY_TRP_0000214,TRP_0000214,2026-07-04T15:05:00.000Z,ARRIVAL,53,TRAFFIC,GPS,false
TNT_001,DLY_TRP_0000219,TRP_0000219,2026-07-09T06:59:00.000Z,ARRIVAL,39,DRIVER_LATE,VENDOR,false
TNT_001,DLY_TRP_0000247,TRP_0000247,2026-08-06T06:57:00.000Z,ARRIVAL,56,DRIVER_LATE,VENDOR,false
TNT_002,DLY_TRP_0000256,TRP_0000256,2026-08-15T09:29:00.000Z,ARRIVAL,45,TRAFFIC,VENDOR,false
TNT_002,DLY_TRP_0000263,TRP_0000263,2026-08-22T22:37:00.000Z,ARRIVAL,13,DRIVER_LATE,GPS,false
TNT_001,DLY_TRP_0000267,TRP_0000267,2026-08-26T07:10:00.000Z,ARRIVAL,19,WEATHER,OPS,false
TNT_001,DLY_TRP_0000274,TRP_0000274,2026-06-04T23:00:00.000Z,ARRIVAL,54,VEHICLE_ISSUE,VENDOR,false
TNT_001,DLY_TRP_0000280,TRP_0000280,2026-06-10T10:06:00.000Z,ARRIVAL,15,DRIVER_LATE,VENDOR,false
TNT_001,DLY_TRP_0000285,TRP_0000285,2026-06-15T14:55:00.000Z,ARRIVAL,45,ROUTE_DEVIATION,GPS,false
TNT_001,DLY_TRP_0000286,TRP_0000286,2026-06-16T09:29:00.000Z,ARRIVAL,25,DRIVER_LATE,GPS,false
TNT_001,DLY_TRP_0000300,TRP_0000300,2026-06-30T06:11:00.000Z,ARRIVAL,18,DRIVER_LATE,OPS,false
TNT_002,DLY_TRP_0000301,TRP_0000301,2026-07-01T14:41:00.000Z,ARRIVAL,25,WEATHER,GPS,false
TNT_002,DLY_TRP_0000302,TRP_0000302,2026-07-02T09:49:00.000Z,ARRIVAL,36,TRAFFIC,VENDOR,false
TNT_001,DLY_TRP_0000306,TRP_0000306,2026-07-06T09:36:00.000Z,ARRIVAL,21,TRAFFIC,GPS,false
TNT_001,DLY_TRP_0000336,TRP_0000336,2026-08-05T06:18:00.000Z,ARRIVAL,32,ROUTE_DEVIATION,OPS,false
TNT_002,DLY_TRP_0000346,TRP_0000346,2026-08-15T09:18:00.000Z,ARRIVAL,37,TRAFFIC,GPS,false
TNT_001,DLY_TRP_0000348,TRP_0000348,2026-08-17T07:20:00.000Z,ARRIVAL,39,WEATHER,OPS,false
TNT_001,DLY_TRP_0000358,TRP_0000358,2026-08-27T22:37:00.000Z,ARRIVAL,58,VEHICLE_ISSUE,GPS,false
TNT_003,DLY_TRP_0000364,TRP_0000364,2026-06-04T22:15:00.000Z,ARRIVAL,21,ROUTE_DEVIATION,GPS,false
TNT_001,DLY_TRP_0000377,TRP_0000377,2026-06-17T22:36:00.000Z,ARRIVAL,36,TRAFFIC,GPS,false
TNT_001,DLY_TRP_0000381,TRP_0000381,2026-06-21T07:38:00.000Z,ARRIVAL,48,TRAFFIC,GPS,false
TNT_002,DLY_TRP_0000386,TRP_0000386,2026-06-26T14:14:00.000Z,ARRIVAL,48,DRIVER_LATE,GPS,false
TNT_001,DLY_TRP_0000389,TRP_0000389,2026-06-29T15:10:00.000Z,ARRIVAL,30,VEHICLE_ISSUE,VENDOR,false
TNT_001,DLY_TRP_0000401,TRP_0000401,2026-07-11T14:30:00.000Z,ARRIVAL,15,WEATHER,GPS,false
TNT_003,DLY_TRP_0000412,TRP_0000412,2026-07-22T09:40:00.000Z,ARRIVAL,18,TRAFFIC,OPS,false
TNT_002,DLY_TRP_0000422,TRP_0000422,2026-08-01T14:26:00.000Z,ARRIVAL,18,VEHICLE_ISSUE,GPS,false
TNT_002,DLY_TRP_0000426,TRP_0000426,2026-08-05T06:32:00.000Z,ARRIVAL,53,TRAFFIC,GPS,false
TNT_001,DLY_TRP_0000433,TRP_0000433,2026-08-12T09:31:00.000Z,ARRIVAL,15,DRIVER_LATE,OPS,false
TNT_003,DLY_TRP_0000435,TRP_0000435,2026-08-14T22:31:00.000Z,ARRIVAL,44,TRAFFIC,GPS,false
TNT_001,DLY_TRP_0000437,TRP_0000437,2026-08-16T09:44:00.000Z,ARRIVAL,27,ROUTE_DEVIATION,GPS,false
TNT_001,DLY_TRP_0000439,TRP_0000439,2026-08-18T13:59:00.000Z,ARRIVAL,19,DRIVER_LATE,VENDOR,true
TNT_001,DLY_TRP_0000445,TRP_0000445,2026-08-24T07:03:00.000Z,ARRIVAL,46,TRAFFIC,GPS,false
TNT_003,DLY_TRP_0000452,TRP_0000452,2026-06-02T14:20:00.000Z,ARRIVAL,40,ROUTE_DEVIATION,VENDOR,false
TNT_001,DLY_TRP_0000461,TRP_0000461,2026-06-11T15:28:00.000Z,ARRIVAL,54,DRIVER_LATE,OPS,false
