tenant_id,driver_id,vendor_id,driver_token,training_status,background_check_status
TNT_001,DRV_0001,VND_001_01,driver_token_0001,CURRENT,CLEAR
TNT_001,DRV_0002,VND_001_02,driver_token_0002,CURRENT,CLEAR
TNT_001,DRV_0003,VND_001_03,driver_token_0003,CURRENT,CLEAR
TNT_001,DRV_0004,VND_001_04,driver_token_0004,CURRENT,CLEAR
TNT_002,DRV_0005,VND_002_01,driver_token_0005,CURRENT,CLEAR
TNT_002,DRV_0006,VND_002_02,driver_token_0006,CURRENT,CLEAR
TNT_002,DRV_0007,VND_002_03,driver_token_0007,CURRENT,CLEAR
TNT_002,DRV_0008,VND_002_04,driver_token_0008,CURRENT,CLEAR
TNT_003,DRV_0009,VND_003_01,driver_token_0009,CURRENT,CLEAR
TNT_003,DRV_0010,VND_003_02,driver_token_0010,CURRENT,CLEAR
TNT_003,DRV_0011,VND_003_03,driver_token_0011,CURRENT,CLEAR
TNT_003,DRV_0012,VND_003_04,driver_token_0012,CURRENT,CLEAR
TNT_001,DRV_0013,VND_001_01,driver_token_0013,CURRENT,CLEAR
TNT_001,DRV_0014,VND_001_02,driver_token_0014,CURRENT,CLEAR
TNT_001,DRV_0015,VND_001_03,driver_token_0015,CURRENT,CLEAR
TNT_001,DRV_0016,VND_001_04,driver_token_0016,CURRENT,CLEAR
TNT_002,DRV_0017,VND_002_01,driver_token_0017,CURRENT,CLEAR
TNT_002,DRV_0018,VND_002_02,driver_token_0018,CURRENT,CLEAR
TNT_002,DRV_0019,VND_002_03,driver_token_0019,CURRENT,CLEAR
TNT_002,DRV_0020,VND_002_04,driver_token_0020,CURRENT,CLEAR
TNT_003,DRV_0021,VND_003_01,driver_token_0021,CURRENT,CLEAR
TNT_003,DRV_0022,VND_003_02,driver_token_0022,CURRENT,CLEAR
TNT_003,DRV_0023,VND_003_03,driver_token_0023,CURRENT,CLEAR
TNT_003,DRV_0024,VND_003_04,driver_token_0024,CURRENT,CLEAR
TNT_001,DRV_0025,VND_001_01,driver_token_0025,CURRENT,CLEAR
