tenant_id,booking_id,trip_id,employee_token,site_id,shift_id,boarding_status,scheduled_boarding_at_utc,actual_boarding_at_utc,boarding_delay_minutes,feedback_id,data_quality_flag
TNT_001,BKG_TRP_0000001_01,TRP_0000001,EMP_00360,SITE_BLR_01,SHIFT_NIGHT,NO_SHOW,2026-06-01T21:20:00.000Z,,,,OK
TNT_001,BKG_TRP_0000002_01,TRP_0000002,EMP_01431,SITE_BLR_01,SHIFT_DAY,BOARDED,2026-06-02T08:40:00.000Z,2026-06-02T08:41:00.000Z,1,,OK
TNT_001,BKG_TRP_0000003_01,TRP_0000003,EMP_03305,SITE_BLR_01,SHIFT_NIGHT,BOARDED,2026-06-03T21:27:00.000Z,2026-06-03T21:28:00.000Z,1,,OK
TNT_001,BKG_TRP_0000003_02,TRP_0000003,EMP_00602,SITE_BLR_01,SHIFT_NIGHT,BOARDED,2026-06-03T21:27:00.000Z,2026-06-03T21:28:00.000Z,1,,OK
TNT_001,BKG_TRP_0000003_03,TRP_0000003,EMP_05457,SITE_BLR_01,SHIFT_NIGHT,BOARDED,2026-06-03T21:27:00.000Z,2026-06-03T21:28:00.000Z,1,,OK
TNT_002,BKG_TRP_0000004_01,TRP_0000004,EMP_01478,SITE_HYD_02,SHIFT_MORNING,BOARDED,2026-06-04T05:31:00.000Z,2026-06-04T05:30:00.000Z,-1,,OK
TNT_002,BKG_TRP_0000005_01,TRP_0000005,EMP_01020,SITE_HYD_02,SHIFT_MORNING,BOARDED,2026-06-05T05:17:00.000Z,2026-06-05T05:19:00.000Z,2,,OK
TNT_002,BKG_TRP_0000006_01,TRP_0000006,EMP_00216,SITE_HYD_01,SHIFT_EVENING,BOARDED,2026-06-06T13:01:00.000Z,2026-06-06T13:03:00.000Z,2,,OK
TNT_003,BKG_TRP_0000007_01,TRP_0000007,EMP_04431,SITE_NCR_01,SHIFT_NIGHT,BOARDED,2026-06-07T21:20:00.000Z,2026-06-07T21:24:00.000Z,4,,OK
TNT_001,BKG_TRP_0000008_01,TRP_0000008,EMP_05195,SITE_BLR_01,SHIFT_MORNING,BOARDED,2026-06-08T05:26:00.000Z,2026-06-08T05:41:00.000Z,15,,OK
TNT_001,BKG_TRP_0000009_01,TRP_0000009,EMP_03750,SITE_BLR_01,SHIFT_NIGHT,NO_SHOW,2026-06-09T21:29:00.000Z,,,FDB_TRP_0000009,OK
TNT_002,BKG_TRP_0000010_01,TRP_0000010,EMP_00733,SITE_HYD_01,SHIFT_NIGHT,BOARDED,2026-06-10T21:14:00.000Z,2026-06-10T21:29:00.000Z,15,,OK
TNT_003,BKG_TRP_0000011_01,TRP_0000011,EMP_04177,SITE_NCR_01,SHIFT_DAY,BOARDED,2026-06-11T08:26:00.000Z,2026-06-11T08:30:00.000Z,4,,OK
TNT_001,BKG_TRP_0000012_01,TRP_0000012,EMP_05442,SITE_BLR_01,SHIFT_MORNING,BOARDED,2026-06-12T05:13:00.000Z,2026-06-12T05:15:00.000Z,2,,OK
TNT_003,BKG_TRP_0000013_01,TRP_0000013,EMP_02141,SITE_NCR_01,SHIFT_MORNING,BOARDED,2026-06-13T05:28:00.000Z,2026-06-13T05:29:00.000Z,1,,OK
TNT_001,BKG_TRP_0000014_01,TRP_0000014,EMP_01594,SITE_BLR_01,SHIFT_MORNING,BOARDED,2026-06-14T05:32:00.000Z,2026-06-14T05:35:00.000Z,3,,OK
TNT_001,BKG_TRP_0000015_01,TRP_0000015,EMP_00977,SITE_BLR_02,SHIFT_DAY,BOARDED,2026-06-15T08:00:00.000Z,2026-06-15T08:03:00.000Z,3,FDB_TRP_0000015,OK
TNT_002,BKG_TRP_0000016_01,TRP_0000016,EMP_01947,SITE_HYD_01,SHIFT_MORNING,BOARDED,2026-06-16T05:09:00.000Z,2026-06-16T05:13:00.000Z,4,,OK
TNT_001,BKG_TRP_0000017_01,TRP_0000017,EMP_01422,SITE_BLR_01,SHIFT_NIGHT,BOARDED,2026-06-17T21:29:00.000Z,2026-06-17T21:25:00.000Z,-4,,OK
TNT_001,BKG_TRP_0000018_01,TRP_0000018,EMP_01212,SITE_BLR_02,SHIFT_NIGHT,BOARDED,2026-06-18T21:15:00.000Z,2026-06-18T21:12:00.000Z,-3,,OK
TNT_001,BKG_TRP_0000018_02,TRP_0000018,EMP_05915,SITE_BLR_02,SHIFT_NIGHT,BOARDED,2026-06-18T21:15:00.000Z,2026-06-18T21:12:00.000Z,-3,,OK
TNT_001,BKG_TRP_0000019_01,TRP_0000019,EMP_02427,SITE_BLR_01,SHIFT_EVENING,BOARDED,2026-06-19T13:32:00.000Z,2026-06-19T13:30:00.000Z,-2,FDB_TRP_0000019,OK
