tenant_id,employee_token,site_id,shift_id,business_unit,active_flag
TNT_002,EMP_00001,SITE_HYD_01,SHIFT_DAY,OPERATIONS,true
TNT_001,EMP_00002,SITE_BLR_02,SHIFT_NIGHT,OPERATIONS,true
TNT_001,EMP_00003,SITE_BLR_02,SHIFT_MORNING,SUPPORT,true
TNT_001,EMP_00004,SITE_BLR_02,SHIFT_DAY,OPERATIONS,true
TNT_001,EMP_00005,SITE_BLR_01,SHIFT_EVENING,OPERATIONS,true
TNT_003,EMP_00006,SITE_NCR_01,SHIFT_EVENING,OPERATIONS,true
TNT_001,EMP_00007,SITE_BLR_01,SHIFT_MORNING,OPERATIONS,true
TNT_002,EMP_00008,SITE_HYD_02,SHIFT_MORNING,SUPPORT,true
TNT_001,EMP_00009,SITE_BLR_02,SHIFT_EVENING,SUPPORT,true
TNT_001,EMP_00010,SITE_BLR_02,SHIFT_EVENING,OPERATIONS,true
TNT_001,EMP_00011,SITE_BLR_02,SHIFT_MORNING,OPERATIONS,true
TNT_003,EMP_00012,SITE_NCR_01,SHIFT_NIGHT,SUPPORT,true
TNT_002,EMP_00013,SITE_HYD_02,SHIFT_MORNING,OPERATIONS,true
TNT_002,EMP_00014,SITE_HYD_02,SHIFT_EVENING,OPERATIONS,true
TNT_001,EMP_00015,SITE_BLR_02,SHIFT_DAY,OPERATIONS,true
TNT_001,EMP_00016,SITE_BLR_01,SHIFT_EVENING,OPERATIONS,true
TNT_002,EMP_00017,SITE_HYD_02,SHIFT_DAY,OPERATIONS,true
TNT_003,EMP_00018,SITE_NCR_01,SHIFT_EVENING,SUPPORT,false
TNT_001,EMP_00019,SITE_BLR_01,SHIFT_NIGHT,SUPPORT,true
TNT_001,EMP_00020,SITE_BLR_02,SHIFT_EVENING,OPERATIONS,true
TNT_002,EMP_00021,SITE_HYD_02,SHIFT_MORNING,TECHNOLOGY,true
TNT_001,EMP_00022,SITE_BLR_02,SHIFT_DAY,OPERATIONS,true
TNT_002,EMP_00023,SITE_HYD_02,SHIFT_NIGHT,TECHNOLOGY,true
TNT_001,EMP_00024,SITE_BLR_02,SHIFT_DAY,SUPPORT,true
TNT_002,EMP_00025,SITE_HYD_01,SHIFT_DAY,TECHNOLOGY,true
TNT_001,EMP_00026,SITE_BLR_01,SHIFT_MORNING,OPERATIONS,true
TNT_003,EMP_00027,SITE_NCR_02,SHIFT_EVENING,TECHNOLOGY,true
TNT_001,EMP_00028,SITE_BLR_01,SHIFT_DAY,OPERATIONS,true
TNT_002,EMP_00029,SITE_HYD_02,SHIFT_MORNING,OPERATIONS,true
TNT_001,EMP_00030,SITE_BLR_01,SHIFT_DAY,TECHNOLOGY,true
TNT_001,EMP_00031,SITE_BLR_01,SHIFT_NIGHT,TECHNOLOGY,true
TNT_001,EMP_00032,SITE_BLR_01,SHIFT_NIGHT,OPERATIONS,true
TNT_001,EMP_00033,SITE_BLR_01,SHIFT_DAY,TECHNOLOGY,true
