tenant_id,route_id,route_name,site_id,service_mode,planned_distance_km,active_flag,synthetic_hotspot_flag
TNT_001,RTE_001_001,Bengaluru CAB Route 01,SITE_BLR_01,CAB,23.4,true,true
TNT_002,RTE_002_002,Hyderabad CAB Route 02,SITE_HYD_01,CAB,10.8,true,false
TNT_003,RTE_003_003,Gurugram CAB Route 03,SITE_NCR_01,CAB,16.9,true,false
TNT_001,RTE_001_004,Bengaluru NODAL Route 04,SITE_BLR_02,NODAL,19.8,true,true
TNT_002,RTE_002_005,Hyderabad NODAL Route 05,SITE_HYD_01,NODAL,14.3,true,false
TNT_003,RTE_003_006,Noida NODAL Route 06,SITE_NCR_02,NODAL,27.2,true,false
TNT_001,RTE_001_007,Bengaluru SHUTTLE Route 07,SITE_BLR_01,SHUTTLE,24.1,true,true
TNT_002,RTE_002_008,Hyderabad SHUTTLE Route 08,SITE_HYD_01,SHUTTLE,41.9,true,false
TNT_003,RTE_003_009,Noida SHUTTLE Route 09,SITE_NCR_02,SHUTTLE,37.8,true,false
TNT_001,RTE_001_010,Bengaluru CAB Route 10,SITE_BLR_02,CAB,14.6,true,true
TNT_002,RTE_002_011,Hyderabad CAB Route 11,SITE_HYD_02,CAB,12.3,true,false
TNT_003,RTE_003_012,Gurugram CAB Route 12,SITE_NCR_01,CAB,22,true,false
TNT_001,RTE_001_013,Bengaluru NODAL Route 13,SITE_BLR_01,NODAL,11.9,true,true
TNT_002,RTE_002_014,Hyderabad NODAL Route 14,SITE_HYD_02,NODAL,17.8,true,false
TNT_003,RTE_003_015,Noida NODAL Route 15,SITE_NCR_02,NODAL,12.6,true,false
TNT_001,RTE_001_016,Bengaluru SHUTTLE Route 16,SITE_BLR_01,SHUTTLE,40.7,true,true
TNT_002,RTE_002_017,Hyderabad SHUTTLE Route 17,SITE_HYD_01,SHUTTLE,18.8,true,false
TNT_003,RTE_003_018,Gurugram SHUTTLE Route 18,SITE_NCR_01,SHUTTLE,32.7,true,false
TNT_001,RTE_001_019,Bengaluru CAB Route 19,SITE_BLR_01,CAB,12.7,true,false
TNT_002,RTE_002_020,Hyderabad CAB Route 20,SITE_HYD_02,CAB,12.1,true,false
TNT_003,RTE_003_021,Gurugram CAB Route 21,SITE_NCR_01,CAB,17.2,true,false
TNT_001,RTE_001_022,Bengaluru NODAL Route 22,SITE_BLR_01,NODAL,11.2,true,false
TNT_002,RTE_002_023,Hyderabad NODAL Route 23,SITE_HYD_01,NODAL,20.8,true,false
TNT_003,RTE_003_024,Noida NODAL Route 24,SITE_NCR_02,NODAL,28.9,true,false
TNT_001,RTE_001_025,Bengaluru SHUTTLE Route 25,SITE_BLR_01,SHUTTLE,24.7,true,false
TNT_002,RTE_002_026,Hyderabad SHUTTLE Route 26,SITE_HYD_02,SHUTTLE,36.8,true,false
TNT_003,RTE_003_027,Gurugram SHUTTLE Route 27,SITE_NCR_01,SHUTTLE,39.5,true,false
TNT_001,RTE_001_028,Bengaluru CAB Route 28,SITE_BLR_01,CAB,19.5,true,false
