tenant_id,incident_id,trip_id,reported_at_utc,severity,incident_type,compliance_status,resolved_flag
TNT_002,INC_TRP_0000217,TRP_0000217,2026-07-07T08:31:00.000Z,MEDIUM,SPEEDING,COMPLIANT,true
TNT_001,INC_TRP_0001007,TRP_0001007,2026-06-17T08:26:00.000Z,LOW,HARSH_BRAKING,COMPLIANT,false
TNT_001,INC_TRP_0001048,TRP_0001048,2026-07-28T08:18:00.000Z,MEDIUM,SPEEDING,COMPLIANT,false
TNT_001,INC_TRP_0001458,TRP_0001458,2026-06-18T13:29:00.000Z,LOW,ROUTE_DEVIATION,COMPLIANT,true
TNT_002,INC_TRP_0001517,TRP_0001517,2026-08-16T08:31:00.000Z,HIGH,COLLISION,COMPLIANT,true
TNT_002,INC_TRP_0001642,TRP_0001642,2026-06-22T13:59:00.000Z,LOW,HARSH_BRAKING,COMPLIANT,false
TNT_002,INC_TRP_0002376,TRP_0002376,2026-07-06T08:33:00.000Z,HIGH,SPEEDING,COMPLIANT,false
TNT_002,INC_TRP_0002403,TRP_0002403,2026-08-02T06:15:00.000Z,LOW,ROUTE_DEVIATION,COMPLIANT,true
TNT_001,INC_TRP_0002470,TRP_0002470,2026-07-10T22:22:00.000Z,HIGH,HARSH_BRAKING,COMPLIANT,true
TNT_001,INC_TRP_0002495,TRP_0002495,2026-08-04T13:54:00.000Z,LOW,HARSH_BRAKING,COMPLIANT,true
TNT_003,INC_TRP_0004524,TRP_0004524,2026-06-24T09:00:00.000Z,LOW,COLLISION,COMPLIANT,true
TNT_001,INC_TRP_0004934,TRP_0004934,2026-08-13T06:09:00.000Z,HIGH,SPEEDING,COMPLIANT,true
TNT_001,INC_TRP_0005452,TRP_0005452,2026-07-22T09:29:00.000Z,LOW,SPEEDING,COMPLIANT,true
TNT_002,INC_TRP_0006254,TRP_0006254,2026-07-14T13:32:00.000Z,LOW,ROUTE_DEVIATION,COMPLIANT,true
TNT_001,INC_TRP_0006318,TRP_0006318,2026-06-18T21:12:00.000Z,LOW,SPEEDING,COMPLIANT,true
TNT_001,INC_TRP_0006334,TRP_0006334,2026-07-04T14:16:00.000Z,HIGH,SPEEDING,COMPLIANT,true
TNT_003,INC_TRP_0006447,TRP_0006447,2026-07-27T13:56:00.000Z,HIGH,ROUTE_DEVIATION,COMPLIANT,true
TNT_001,INC_TRP_0006738,TRP_0006738,2026-08-17T05:31:00.000Z,LOW,ROUTE_DEVIATION,COMPLIANT,true
TNT_001,INC_TRP_0006980,TRP_0006980,2026-07-20T06:07:00.000Z,LOW,SPEEDING,COMPLIANT,true
