tenant_id,trip_id,service_date,city,site_id,shift_id,service_mode,route_id,vendor_id,driver_id,vehicle_id,scheduled_start_at_utc,scheduled_drop_at_utc,actual_start_at_utc,actual_drop_at_utc,trip_status,pickup_delay_minutes,arrival_delay_minutes,delay_reason,planned_distance_km,actual_distance_km,vehicle_capacity,booked_employees,boarded_employees,no_show_count,quoted_cost,actual_cost,currency,sla_tolerance_minutes,on_time_arrival_flag,gps_expected_points,gps_recorded_points,gps_coverage_pct,feedback_response_count,avg_feedback_rating,safety_incident_flag,compliance_status,fuel_type,estimated_co2_kg,data_quality_flags
TNT_002,TRP_0004152,2026-06-12,Hyderabad,SITE_HYD_02,SHIFT_DAY,SHUTTLE,RTE_002_071,VND_002_03,DRV_0475,VEH_0103,2026-06-12T08:43:00.000Z,2026-06-12T09:56:00.000Z,2026-06-12T08:48:00.000Z,2026-06-12T10:06:00.000Z,COMPLETED,5,10,,30.1,29.1,40,6,6,0,1374.2,1335.72,INR,10,true,20,19,96.3,1,2,false,COMPLIANT,CNG,3.49,
TNT_001,TRP_0010773,2026-08-02,Bengaluru,SITE_BLR_01,SHIFT_MORNING,CAB,RTE_001_064,VND_001_02,DRV_0458,VEH_0110,2026-08-02T05:27:00.000Z,2026-08-02T06:32:00.000Z,2026-08-02T05:27:00.000Z,2026-08-02T06:33:00.000Z,COMPLETED,0,1,,25.7,27.8,4,1,1,0,726.8,735.52,INR,10,true,20,19,94.9,0,,false,COMPLIANT,CNG,3.34,
TNT_002,TRP_0007024,2026-06-04,Hyderabad,SITE_HYD_02,SHIFT_DAY,CAB,RTE_002_065,VND_002_01,DRV_0485,VEH_0257,2026-06-04T08:39:00.000Z,2026-06-04T09:26:00.000Z,2026-06-04T08:39:00.000Z,2026-06-04T09:26:00.000Z,COMPLETED,0,0,,22.9,24.5,4,1,1,0,659.6,701.81,INR,10,true,20,19,95.8,0,,false,COMPLIANT,CNG,2.94,
TNT_001,TRP_0023505,2026-06-15,Bengaluru,SITE_BLR_01,SHIFT_DAY,NODAL,RTE_001_022,VND_001_02,DRV_0218,VEH_0194,2026-06-15T08:00:00.000Z,2026-06-15T08:25:00.000Z,2026-06-15T07:57:00.000Z,2026-06-15T08:20:00.000Z,COMPLETED,-3,-5,,10.5,10.4,12,2,2,0,435.5,444.21,INR,10,true,20,20,99.8,0,,false,COMPLIANT,EV,0.36,
TNT_001,TRP_0028671,2026-07-21,Bengaluru,SITE_BLR_02,SHIFT_MORNING,CAB,RTE_001_010,VND_001_02,DRV_0350,VEH_0326,2026-07-21T05:00:00.000Z,2026-07-21T05:36:00.000Z,2026-07-21T04:59:00.000Z,2026-07-21T05:33:00.000Z,COMPLETED,-1,-3,,17.1,16.5,4,1,1,0,520.4,558.39,INR,10,true,20,18,90.1,1,3,false,COMPLIANT,CNG,1.98,
TNT_001,TRP_0023805,2026-07-15,Bengaluru,SITE_BLR_01,SHIFT_MORNING,CAB,RTE_001_019,VND_001_01,DRV_0325,VEH_0001,2026-07-15T05:31:00.000Z,2026-07-15T06:07:00.000Z,,,CANCELLED,,,,14.7,0,4,1,0,1,462.8,69.42,INR,10,,0,0,0,0,,false,COMPLIANT,DIESEL,0,INCOMPLETE_ROSTER
TNT_001,TRP_0018993,2026-06-03,Bengaluru,SITE_BLR_01,SHIFT_MORNING,CAB,RTE_001_073,VND_001_02,DRV_0434,VEH_0038,2026-06-03T05:40:00.000Z,2026-06-03T06:21:00.000Z,2026-06-03T05:40:00.000Z,2026-06-03T06:21:00.000Z,COMPLETED,0,0,,18.2,18,4,1,1,0,546.8,570.86,INR,10,true,20,19,97.1,0,,false,COMPLIANT,DIESEL,3.42,
TNT_002,TRP_0035904,2026-08-23,Hyderabad,SITE_HYD_01,SHIFT_NIGHT,CAB,RTE_002_056,VND_002_01,DRV_0101,VEH_0113,2026-08-23T21:08:00.000Z,2026-08-23T21:41:00.000Z,2026-08-23T21:13:00.000Z,2026-08-23T21:48:00.000Z,COMPLETED,5,7,,16.2,17.5,4,1,1,0,498.8,527.23,INR,10,true,20,19,94.3,0,,false,COMPLIANT,EV,0.61,
TNT_001,TRP_0045617,2026-08-16,Bengaluru,SITE_BLR_01,SHIFT_NIGHT,CAB,RTE_001_064,VND_001_02,DRV_0494,VEH_0182,2026-08-16T21:07:00.000Z,2026-08-16T22:04:00.000Z,2026-08-16T21:32:00.000Z,2026-08-16T22:53:00.000Z,COMPLETED,25,49,TRAFFIC,24.5,26.2,4,1,1,0,698,721.03,INR,10,false,20,18,90.4,0,,false,COMPLIANT,DIESEL,4.98,
TNT_001,TRP_0040353,2026-07-03,Bengaluru,SITE_BLR_01,SHIFT_MORNING,CAB,RTE_001_028,VND_001_02,DRV_0362,VEH_0002,2026-07-03T05:44:00.000Z,2026-07-03T06:26:00.000Z,2026-07-03T05:41:00.000Z,2026-07-03T06:21:00.000Z,COMPLETED,-3,-5,,19,18.2,4,1,1,0,566,585.24,INR,10,true,20,19,97.4,1,5,false,COMPLIANT,EV,0.64,
TNT_001,TRP_0034615,2026-07-25,Bengaluru,SITE_BLR_01,SHIFT_MORNING,CAB,RTE_001_073,VND_001_02,DRV_0338,VEH_0002,2026-07-25T05:19:00.000Z,2026-07-25T05:58:00.000Z,2026-07-25T05:31:00.000Z,2026-07-25T06:15:00.000Z,COMPLETED,12,17,WEATHER,20.6,22.8,4,1,1,0,604.4,625.55,INR,10,false,20,19,92.5,0,,false,COMPLIANT,EV,0.8,
TNT_001,TRP_0038482,2026-07-22,Bengaluru,SITE_BLR_01,SHIFT_NIGHT,CAB,RTE_001_001,VND_001_04,DRV_0016,VEH_0256,2026-07-22T21:13:00.000Z,2026-07-22T21:58:00.000Z,2026-07-22T21:13:00.000Z,2026-07-22T21:58:00.000Z,COMPLETED,0,0,,22.1,21,4,1,0,1,640.4,646.16,INR,10,true,20,19,95.2,0,,false,COMPLIANT,CNG,2.52,
TNT_001,TRP_0016108,2026-08-27,Bengaluru,SITE_BLR_01,SHIFT_NIGHT,CAB,RTE_001_001,VND_001_01,DRV_0493,VEH_0253,2026-08-27T21:11:00.000Z,2026-08-27T21:58:00.000Z,2026-08-27T21:24:00.000Z,2026-08-27T22:34:00.000Z,COMPLETED,13,36,DRIVER_LATE,19.6,19.3,4,1,1,0,580.4,646.15,INR,10,false,20,10,49.9,0,,false,COMPLIANT,CNG,2.32,GPS_GAP
TNT_001,TRP_0040447,2026-07-07,Bengaluru,SITE_BLR_02,SHIFT_DAY,SHUTTLE,RTE_001_079,VND_001_03,DRV_0063,VEH_0243,2026-07-07T08:33:00.000Z,2026-07-07T09:54:00.000Z,2026-07-07T08:44:00.000Z,2026-07-07T10:09:00.000Z,COMPLETED,11,15,TRAFFIC,31.8,33.3,40,6,6,0,1445.6,1403.68,INR,10,false,20,19,96,1,4,false,COMPLIANT,CNG,4,
TNT_001,TRP_0013652,2026-08-01,Bengaluru,SITE_BLR_01,SHIFT_DAY,CAB,RTE_001_064,VND_001_03,DRV_0027,VEH_0003,2026-08-01T08:11:00.000Z,2026-08-01T09:21:00.000Z,2026-08-01T08:16:00.000Z,2026-08-01T09:30:00.000Z,COMPLETED,5,9,,29.1,27.4,4,1,1,0,808.4,871.46,INR,10,true,20,18,91.8,0,,false,COMPLIANT,CNG,3.29,
TNT_001,TRP_0028915,2026-06-25,Bengaluru,SITE_BLR_01,SHIFT_MORNING,CAB,RTE_001_028,VND_001_04,DRV_0112,VEH_0256,2026-06-25T05:28:00.000Z,2026-06-25T06:17:00.000Z,2026-06-25T05:28:00.000Z,2026-06-25T06:16:00.000Z,COMPLETED,0,-1,,21.7,22.7,4,1,1,0,630.8,608.09,INR,10,true,20,19,96.1,0,,false,REVIEW_REQUIRED,CNG,2.72,COMPLIANCE_REVIEW
TNT_001,TRP_0044877,2026-07-27,Bengaluru,SITE_BLR_01,SHIFT_MORNING,CAB,RTE_001_055,VND_001_02,DRV_0494,VEH_0146,2026-07-27T05:18:00.000Z,2026-07-27T05:54:00.000Z,2026-07-27T05:18:00.000Z,2026-07-27T05:54:00.000Z,COMPLETED,0,0,,15.6,14.4,4,1,1,0,484.4,497.48,INR,10,true,20,19,96.4,0,,false,COMPLIANT,CNG,1.73,
TNT_002,TRP_0036180,2026-08-29,Hyderabad,SITE_HYD_02,SHIFT_EVENING,CAB,RTE_002_074,VND_002_04,DRV_0428,VEH_0116,2026-08-29T13:07:00.000Z,2026-08-29T13:27:00.000Z,2026-08-29T13:10:00.000Z,2026-08-29T13:34:00.000Z,COMPLETED,3,7,,9.1,10.4,4,1,1,0,328.4,340.88,INR,10,true,20,19,93.3,0,,false,COMPLIANT,CNG,1.25,
TNT_002,TRP_0031845,2026-08-14,Hyderabad,SITE_HYD_01,SHIFT_DAY,SHUTTLE,RTE_002_008,VND_002_01,DRV_0221,VEH_0173,2026-08-14T08:29:00.000Z,2026-08-14T10:33:00.000Z,2026-08-14T08:28:00.000Z,2026-08-14T10:32:00.000Z,COMPLETED,-1,-1,,47.5,53.3,40,5,5,0,2105,2067.11,INR,10,true,20,19,95.8,0,,false,COMPLIANT,CNG,6.4,
TNT_003,TRP_0031553,2026-07-23,Gurugram,SITE_NCR_01,SHIFT_NIGHT,CAB,RTE_003_066,VND_003_01,DRV_0417,VEH_0009,2026-07-23T21:08:00.000Z,2026-07-23T22:02:00.000Z,2026-07-23T21:06:00.000Z,2026-07-23T21:56:00.000Z,COMPLETED,-2,-6,,21.8,22.1,4,1,1,0,633.2,643.33,INR,10,true,20,20,99.3,0,,false,COMPLIANT,DIESEL,4.2,
TNT_001,TRP_0019454,2026-06-14,Bengaluru,SITE_BLR_01,SHIFT_MORNING,CAB,RTE_001_028,VND_001_02,DRV_0014,VEH_0074,2026-06-14T05:01:00.000Z,2026-06-14T05:48:00.000Z,2026-06-14T04:58:00.000Z,2026-06-14T05:43:00.000Z,COMPLETED,-3,-5,,19,21.3,4,1,1,0,566,550.72,INR,10,true,20,15,75.6,0,,false,COMPLIANT,CNG,2.56,
TNT_002,TRP_0023876,2026-06-26,Hyderabad,SITE_HYD_02,SHIFT_NIGHT,NODAL,RTE_002_077,VND_002_03,DRV_0403,VEH_0271,2026-06-26T21:26:00.000Z,2026-06-26T21:57:00.000Z,2026-06-26T21:27:00.000Z,2026-06-26T21:59:00.000Z,COMPLETED,1,2,,17.4,18.5,12,2,2,0,649.4,648.1,INR,10,true,20,19,94.1,0,,false,COMPLIANT,CNG,2.22,
TNT_002,TRP_0030909,2026-07-09,Hyderabad,SITE_HYD_01,SHIFT_MORNING,CAB,RTE_002_002,VND_002_02,DRV_0234,VEH_0114,2026-07-09T05:42:00.000Z,2026-07-09T06:04:00.000Z,2026-07-09T05:45:00.000Z,2026-07-09T06:09:00.000Z,COMPLETED,3,5,,10.4,11,4,1,1,0,359.6,388.37,INR,10,true,20,19,93.1,0,,false,COMPLIANT,EV,0.39,
TNT_002,TRP_0000357,2026-08-26,Hyderabad,SITE_HYD_01,SHIFT_EVENING,CAB,RTE_002_038,VND_002_03,DRV_0067,VEH_0295,2026-08-26T13:00:00.000Z,2026-08-26T13:48:00.000Z,2026-08-26T13:00:00.000Z,2026-08-26T13:47:00.000Z,COMPLETED,0,-1,,20.6,21.8,4,1,1,0,604.4,595.94,INR,10,true,20,18,91.3,0,,false,COMPLIANT,DIESEL,4.14,
TNT_001,TRP_0025665,2026-06-15,Bengaluru,SITE_BLR_01,SHIFT_NIGHT,CAB,RTE_001_001,VND_001_03,DRV_0327,VEH_0039,2026-06-15T21:17:00.000Z,2026-06-15T22:13:00.000Z,2026-06-15T21:15:00.000Z,2026-06-15T22:07:00.000Z,COMPLETED,-2,-6,,23.5,22.2,4,1,1,0,674,662.54,INR,10,true,20,18,92.3,0,,false,COMPLIANT,DIESEL,4.22,
TNT_003,TRP_0025296,2026-06-06,Gurugram,SITE_NCR_01,SHIFT_MORNING,CAB,RTE_003_039,VND_003_01,DRV_0093,VEH_0297,2026-06-06T05:18:00.000Z,2026-06-06T05:52:00.000Z,,,CANCELLED,,,,16.7,0,4,1,0,1,510.8,76.62,INR,10,,0,0,0,0,,false,COMPLIANT,EV,0,
TNT_001,TRP_0032466,2026-08-05,Bengaluru,SITE_BLR_01,SHIFT_NIGHT,CAB,RTE_001_055,VND_001_01,DRV_0133,VEH_0109,2026-08-05T21:13:00.000Z,2026-08-05T21:49:00.000Z,2026-08-05T21:13:00.000Z,2026-08-05T21:49:00.000Z,COMPLETED,0,0,,17.4,17.2,4,1,1,0,527.6,524.96,INR,10,true,20,11,56.7,0,,false,COMPLIANT,CNG,2.06,GPS_GAP
TNT_001,TRP_0017638,2026-08-27,Bengaluru,SITE_BLR_01,SHIFT_MORNING,CAB,RTE_001_001,VND_001_03,DRV_0435,VEH_0147,2026-08-27T05:10:00.000Z,2026-08-27T06:05:00.000Z,2026-08-27T05:11:00.000Z,2026-08-27T06:06:00.000Z,COMPLETED,1,1,,21.4,20,4,1,1,0,623.6,609.26,INR,10,true,20,20,98.6,1,5,false,COMPLIANT,CNG,2.4,
TNT_002,TRP_0037122,2026-07-12,Hyderabad,SITE_HYD_02,SHIFT_DAY,CAB,RTE_002_020,VND_002_04,DRV_0236,VEH_0188,2026-07-12T08:43:00.000Z,2026-07-12T09:05:00.000Z,2026-07-12T08:41:00.000Z,2026-07-12T08:59:00.000Z,COMPLETED,-2,-6,,10.2,11.3,4,1,1,0,354.8,364.38,INR,10,true,20,19,94.9,0,,false,COMPLIANT,CNG,1.36,
TNT_001,TRP_0002830,2026-07-10,Bengaluru,SITE_BLR_01,SHIFT_EVENING,CAB,RTE_001_073,VND_001_04,DRV_0448,VEH_0112,2026-07-10T13:15:00.000Z,2026-07-10T13:51:00.000Z,,,CANCELLED,,,,16.8,0,4,1,0,1,513.2,76.98,INR,10,,0,0,0,0,,false,COMPLIANT,CNG,0,
TNT_003,TRP_0013479,2026-08-08,Gurugram,SITE_NCR_01,SHIFT_EVENING,CAB,RTE_003_048,VND_003_02,DRV_0034,VEH_0046,2026-08-08T13:11:00.000Z,2026-08-08T13:39:00.000Z,2026-08-08T13:09:00.000Z,2026-08-08T13:36:00.000Z,COMPLETED,-2,-3,,15,16.8,4,1,1,0,470,507.13,INR,10,true,20,20,97.7,1,5,false,COMPLIANT,DIESEL,3.19,
TNT_001,TRP_0000012,2026-06-12,Bengaluru,SITE_BLR_01,SHIFT_MORNING,CAB,RTE_001_028,VND_001_04,DRV_0484,VEH_0112,2026-06-12T05:13:00.000Z,2026-06-12T05:52:00.000Z,2026-06-12T05:15:00.000Z,2026-06-12T05:57:00.000Z,COMPLETED,2,5,,19,21.4,4,1,1,0,566,610.71,INR,10,true,20,19,96.1,0,,false,COMPLIANT,CNG,2.57,
TNT_001,TRP_0012466,2026-07-16,Bengaluru,SITE_BLR_02,SHIFT_DAY,CAB,RTE_001_010,VND_001_04,DRV_0268,VEH_0184,2026-07-16T08:04:00.000Z,2026-07-16T08:38:00.000Z,2026-07-16T08:04:00.000Z,2026-07-16T08:39:00.000Z,COMPLETED,0,1,,16.2,16.4,4,1,1,0,498.8,481.84,INR,10,true,20,18,91.5,1,1,false,COMPLIANT,CNG,1.97,
TNT_002,TRP_0022002,2026-07-12,Hyderabad,SITE_HYD_02,SHIFT_DAY,CAB,RTE_002_011,VND_002_04,DRV_0140,VEH_0260,2026-07-12T08:42:00.000Z,2026-07-12T09:05:00.000Z,2026-07-12T08:46:00.000Z,2026-07-12T09:13:00.000Z,COMPLETED,4,8,,12.5,14,4,1,1,0,410,427.22,INR,10,true,20,19,96.7,0,,false,COMPLIANT,EV,0.49,
TNT_001,TRP_0038105,2026-07-05,Bengaluru,SITE_BLR_01,SHIFT_EVENING,CAB,RTE_001_001,VND_001_03,DRV_0039,VEH_0111,2026-07-05T13:22:00.000Z,2026-07-05T14:16:00.000Z,2026-07-05T13:27:00.000Z,2026-07-05T14:23:00.000Z,COMPLETED,5,7,,27.1,30.3,4,1,1,0,760.4,761.92,INR,10,true,20,18,91,0,,false,REVIEW_REQUIRED,EV,1.06,COMPLIANCE_REVIEW
