tenant_id,vehicle_id,vendor_id,service_mode,vehicle_type,capacity,fuel_type,compliance_status
TNT_001,VEH_0001,VND_001_01,CAB,SEDAN,4,DIESEL,COMPLIANT
TNT_001,VEH_0002,VND_001_02,CAB,SEDAN,4,EV,COMPLIANT
TNT_001,VEH_0003,VND_001_03,CAB,SEDAN,4,CNG,COMPLIANT
TNT_001,VEH_0004,VND_001_04,CAB,SEDAN,4,DIESEL,COMPLIANT
TNT_002,VEH_0005,VND_002_01,CAB,SEDAN,4,DIESEL,COMPLIANT
TNT_002,VEH_0006,VND_002_02,CAB,SEDAN,4,EV,COMPLIANT
TNT_002,VEH_0007,VND_002_03,CAB,SEDAN,4,CNG,COMPLIANT
TNT_002,VEH_0008,VND_002_04,CAB,SEDAN,4,CNG,COMPLIANT
TNT_003,VEH_0009,VND_003_01,CAB,SEDAN,4,DIESEL,COMPLIANT
TNT_003,VEH_0010,VND_003_02,CAB,SEDAN,4,CNG,COMPLIANT
TNT_003,VEH_0011,VND_003_03,CAB,SEDAN,4,EV,COMPLIANT
TNT_003,VEH_0012,VND_003_04,CAB,SEDAN,4,DIESEL,COMPLIANT
TNT_001,VEH_0013,VND_001_01,NODAL,MINIVAN,12,CNG,COMPLIANT
TNT_001,VEH_0014,VND_001_02,NODAL,MINIVAN,12,DIESEL,COMPLIANT
TNT_001,VEH_0015,VND_001_03,NODAL,MINIVAN,12,EV,COMPLIANT
TNT_001,VEH_0016,VND_001_04,NODAL,MINIVAN,12,CNG,COMPLIANT
TNT_002,VEH_0017,VND_002_01,NODAL,MINIVAN,12,DIESEL,COMPLIANT
TNT_002,VEH_0018,VND_002_02,NODAL,MINIVAN,12,CNG,COMPLIANT
TNT_002,VEH_0019,VND_002_03,NODAL,MINIVAN,12,DIESEL,COMPLIANT
TNT_002,VEH_0020,VND_002_04,NODAL,MINIVAN,12,CNG,COMPLIANT
TNT_003,VEH_0021,VND_003_01,NODAL,MINIVAN,12,CNG,COMPLIANT
TNT_003,VEH_0022,VND_003_02,NODAL,MINIVAN,12,CNG,COMPLIANT
TNT_003,VEH_0023,VND_003_03,NODAL,MINIVAN,12,CNG,COMPLIANT
TNT_003,VEH_0024,VND_003_04,NODAL,MINIVAN,12,CNG,COMPLIANT
TNT_001,VEH_0025,VND_001_01,SHUTTLE,BUS,40,CNG,COMPLIANT
TNT_001,VEH_0026,VND_001_02,SHUTTLE,BUS,40,DIESEL,COMPLIANT
TNT_001,VEH_0027,VND_001_03,SHUTTLE,BUS,40,CNG,COMPLIANT
TNT_001,VEH_0028,VND_001_04,SHUTTLE,BUS,40,EV,COMPLIANT
TNT_002,VEH_0029,VND_002_01,SHUTTLE,BUS,40,DIESEL,COMPLIANT
TNT_002,VEH_0030,VND_002_02,SHUTTLE,BUS,40,CNG,COMPLIANT
TNT_002,VEH_0031,VND_002_03,SHUTTLE,BUS,40,EV,COMPLIANT
TNT_002,VEH_0032,VND_002_04,SHUTTLE,BUS,40,EV,COMPLIANT
TNT_003,VEH_0033,VND_003_01,SHUTTLE,BUS,40,EV,COMPLIANT
TNT_003,VEH_0034,VND_003_02,SHUTTLE,BUS,40,CNG,COMPLIANT
TNT_003,VEH_0035,VND_003_03,SHUTTLE,BUS,40,CNG,COMPLIANT
TNT_003,VEH_0036,VND_003_04,SHUTTLE,BUS,40,CNG,COMPLIANT
TNT_001,VEH_0037,VND_001_01,CAB,SEDAN,4,DIESEL,COMPLIANT
TNT_001,VEH_0038,VND_001_02,CAB,SEDAN,4,DIESEL,COMPLIANT
TNT_001,VEH_0039,VND_001_03,CAB,SEDAN,4,DIESEL,COMPLIANT
TNT_001,VEH_0040,VND_001_04,CAB,SEDAN,4,CNG,COMPLIANT
TNT_002,VEH_0041,VND_002_01,CAB,SEDAN,4,EV,COMPLIANT
