tenant_id,vendor_id,vendor_name,contract_tier,active_from,active_to,ota_sla_pct,safety_sla_pct
TNT_001,VND_001_01,Vendor 11,PRIMARY,2025-01-01,,90,99.5
TNT_001,VND_001_02,Vendor 12,PRIMARY,2025-01-01,,90,99.5
TNT_001,VND_001_03,Vendor 13,SECONDARY,2025-01-01,,90,99.5
TNT_001,VND_001_04,Vendor 14,SECONDARY,2025-01-01,,88,99.5
TNT_002,VND_002_01,Vendor 21,PRIMARY,2025-01-01,,90,99.5
TNT_002,VND_002_02,Vendor 22,PRIMARY,2025-01-01,,90,99.5
TNT_002,VND_002_03,Vendor 23,SECONDARY,2025-01-01,,90,99.5
TNT_002,VND_002_04,Vendor 24,SECONDARY,2025-01-01,,88,99.5
TNT_003,VND_003_01,Vendor 31,PRIMARY,2025-01-01,,90,99.5
TNT_003,VND_003_02,Vendor 32,PRIMARY,2025-01-01,,90,99.5
TNT_003,VND_003_03,Vendor 33,SECONDARY,2025-01-01,,90,99.5
TNT_003,VND_003_04,Vendor 34,SECONDARY,2025-01-01,,88,99.5
